field,null_count,total,null_pct,filled_count,filled_pct
#SampleID,0,2000,0.0,2000,100.0
BarcodeSequence,0,2000,0.0,2000,100.0
LinkerPrimerSequence,0,2000,0.0,2000,100.0
Description,23,2000,1.2,1977,98.8
host_subject_id,127,2000,6.4,1873,93.6
study_id,0,2000,0.0,2000,100.0
title,0,2000,0.0,2000,100.0
principal_investigator,0,2000,0.0,2000,100.0
doi,0,2000,0.0,2000,100.0
ebi_accession,0,2000,0.0,2000,100.0
target_gene,0,2000,0.0,2000,100.0
target_subfragment,0,2000,0.0,2000,100.0
pcr_primers,0,2000,0.0,2000,100.0
illumina_technology,0,2000,0.0,2000,100.0
extraction_center,0,2000,0.0,2000,100.0
run_center,0,2000,0.0,2000,100.0
run_date,0,2000,0.0,2000,100.0
read_length_bp,0,2000,0.0,2000,100.0
sequences_split_libraries,0,2000,0.0,2000,100.0
observations_closed_ref_greengenes,0,2000,0.0,2000,100.0
observations_closed_ref_silva,0,2000,0.0,2000,100.0
observations_open_ref_greengenes,0,2000,0.0,2000,100.0
observations_deblur_90bp,0,2000,0.0,2000,100.0
observations_deblur_100bp,0,2000,0.0,2000,100.0
observations_deblur_150bp,0,2000,0.0,2000,100.0
emp_release1,0,2000,0.0,2000,100.0
qc_filtered,0,2000,0.0,2000,100.0
subset_10k,0,2000,0.0,2000,100.0
subset_5k,0,2000,0.0,2000,100.0
subset_2k,0,2000,0.0,2000,100.0
sample_taxid,0,2000,0.0,2000,100.0
sample_scientific_name,0,2000,0.0,2000,100.0
host_taxid,1091,2000,54.6,909,45.4
host_common_name_provided,1152,2000,57.6,848,42.4
host_common_name,1295,2000,64.8,705,35.2
host_scientific_name,1091,2000,54.6,909,45.4
host_superkingdom,1091,2000,54.6,909,45.4
host_kingdom,1091,2000,54.6,909,45.4
host_phylum,1091,2000,54.6,909,45.4
host_class,1091,2000,54.6,909,45.4
host_order,1091,2000,54.6,909,45.4
host_family,1091,2000,54.6,909,45.4
host_genus,1091,2000,54.6,909,45.4
host_species,1091,2000,54.6,909,45.4
collection_timestamp,241,2000,12.0,1759,88.0
country,0,2000,0.0,2000,100.0
latitude_deg,2,2000,0.1,1998,99.9
longitude_deg,2,2000,0.1,1998,99.9
depth_m,250,2000,12.5,1750,87.5
altitude_m,81,2000,4.0,1919,96.0
elevation_m,19,2000,1.0,1981,99.0
env_biome,0,2000,0.0,2000,100.0
env_feature,0,2000,0.0,2000,100.0
env_material,0,2000,0.0,2000,100.0
envo_biome_0,0,2000,0.0,2000,100.0
envo_biome_1,0,2000,0.0,2000,100.0
envo_biome_2,33,2000,1.6,1967,98.4
envo_biome_3,557,2000,27.8,1443,72.2
envo_biome_4,1160,2000,58.0,840,42.0
envo_biome_5,1922,2000,96.1,78,3.9
empo_0,0,2000,0.0,2000,100.0
empo_1,0,2000,0.0,2000,100.0
empo_2,0,2000,0.0,2000,100.0
empo_3,0,2000,0.0,2000,100.0
adiv_observed_otus,0,2000,0.0,2000,100.0
adiv_chao1,0,2000,0.0,2000,100.0
adiv_shannon,0,2000,0.0,2000,100.0
adiv_faith_pd,0,2000,0.0,2000,100.0
temperature_deg_c,1589,2000,79.4,411,20.6
ph,1716,2000,85.8,284,14.2
salinity_psu,1879,2000,94.0,121,6.0
oxygen_mg_per_l,1974,2000,98.7,26,1.3
phosphate_umol_per_l,1856,2000,92.8,144,7.2
ammonium_umol_per_l,1919,2000,96.0,81,4.0
nitrate_umol_per_l,1884,2000,94.2,116,5.8
sulfate_umol_per_l,1983,2000,99.2,17,0.8
