column,missing_value,count,total_rows,pct
sulfate_umol_per_l,,1983,2000,99.15
oxygen_mg_per_l,,1974,2000,98.7
envo_biome_5,,1922,2000,96.1
ammonium_umol_per_l,,1919,2000,95.95
nitrate_umol_per_l,,1884,2000,94.2
salinity_psu,,1879,2000,93.95
phosphate_umol_per_l,,1856,2000,92.8
ph,,1716,2000,85.8
temperature_deg_c,,1589,2000,79.45
host_common_name,,1295,2000,64.75
envo_biome_4,,1160,2000,58.0
host_common_name_provided,,1152,2000,57.6
host_class,,1091,2000,54.55
host_family,,1091,2000,54.55
host_genus,,1091,2000,54.55
host_kingdom,,1091,2000,54.55
host_order,,1091,2000,54.55
host_phylum,,1091,2000,54.55
host_scientific_name,,1091,2000,54.55
host_species,,1091,2000,54.55
host_superkingdom,,1091,2000,54.55
host_taxid,,1091,2000,54.55
doi,Missing: Not provided,721,2000,36.05
envo_biome_3,,557,2000,27.85
collection_timestamp,,241,2000,12.05
depth_m,,159,2000,7.95
run_date,unknown,146,2000,7.3
host_subject_id,,127,2000,6.35
depth_m,nan,91,2000,4.55
altitude_m,,81,2000,4.05
envo_biome_2,,33,2000,1.65
Description,,23,2000,1.15
elevation_m,,19,2000,0.95
latitude_deg,,2,2000,0.1
longitude_deg,,2,2000,0.1
